,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
118,365.0,2992.0,0.0,,33.0,4132.0,630.0,0.0,253.0,676.0,131.0,202001052200,202001052300,1093.0,807.0,8119.0,9212.0,12,9
119,366.0,2437.0,0.0,,33.0,4131.0,634.0,0.0,257.0,595.0,160.0,202001052300,202001060000,1045.0,755.0,7568.0,8613.0,12,9
120,364.0,2245.0,0.0,,33.0,4130.0,633.0,0.0,255.0,586.0,157.0,202001060000,202001060100,1031.0,743.0,7372.0,8403.0,12,9
121,363.0,2258.0,0.0,,34.0,4129.0,663.0,0.0,254.0,681.0,143.0,202001060100,202001060200,1112.0,824.0,7413.0,8525.0,13,10
122,364.0,2257.0,0.0,,34.0,4130.0,639.0,0.0,255.0,737.0,135.0,202001060200,202001060300,1161.0,872.0,7390.0,8551.0,14,10
123,367.0,2218.0,0.0,,33.0,4130.0,612.0,0.0,255.0,1017.0,126.0,202001060300,202001060400,1431.0,1143.0,7327.0,8758.0,16,13
124,366.0,2456.0,0.0,,33.0,4129.0,597.0,0.0,254.0,1084.0,154.0,202001060400,202001060500,1525.0,1238.0,7548.0,9073.0,17,14
125,360.0,2887.0,0.0,,33.0,4129.0,668.0,0.0,253.0,861.0,238.0,202001060500,202001060600,1385.0,1099.0,8044.0,9429.0,15,12
126,362.0,3518.0,0.0,,33.0,4129.0,732.0,0.0,252.0,892.0,298.0,202001060600,202001060700,1475.0,1190.0,8741.0,10216.0,14,12
127,362.0,4055.0,0.0,96.0,33.0,4131.0,724.0,1.0,250.0,1050.0,421.0,202001060700,202001060800,1851.0,1472.0,9272.0,11123.0,17,13
128,363.0,3769.0,0.0,,34.0,4137.0,710.0,156.0,245.0,1098.0,526.0,202001060800,202001060900,2059.0,1780.0,8979.0,11038.0,19,16
129,364.0,3638.0,0.0,,33.0,4135.0,694.0,536.0,242.0,1031.0,574.0,202001060900,202001061000,2416.0,2141.0,8831.0,11247.0,21,19
130,366.0,3560.0,0.0,,33.0,4134.0,673.0,987.0,250.0,988.0,522.0,202001061000,202001061100,2780.0,2497.0,8733.0,11513.0,24,22
131,364.0,3671.0,0.0,,34.0,4132.0,672.0,1236.0,247.0,883.0,385.0,202001061100,202001061200,2785.0,2504.0,8839.0,11624.0,24,22
132,366.0,3742.0,0.0,,34.0,4131.0,697.0,1158.0,240.0,857.0,354.0,202001061200,202001061300,2643.0,2369.0,8936.0,11579.0,23,20
133,368.0,3758.0,0.0,,34.0,4130.0,712.0,801.0,240.0,814.0,404.0,202001061300,202001061400,2293.0,2019.0,8968.0,11261.0,20,18
134,365.0,4083.0,0.0,,34.0,4128.0,742.0,378.0,239.0,920.0,398.0,202001061400,202001061500,1969.0,1696.0,9318.0,11287.0,17,15
135,365.0,4162.0,0.0,75.0,35.0,4127.0,798.0,68.0,236.0,866.0,470.0,202001061500,202001061600,1750.0,1404.0,9452.0,11202.0,16,13
136,364.0,4195.0,0.0,787.0,34.0,4126.0,817.0,0.0,239.0,1054.0,495.0,202001061600,202001061700,2609.0,1549.0,9502.0,12111.0,22,13
137,366.0,4046.0,0.0,764.0,34.0,4127.0,740.0,0.0,241.0,1209.0,740.0,202001061700,202001061800,2988.0,1949.0,9279.0,12267.0,24,16
138,365.0,4051.0,0.0,331.0,33.0,4129.0,668.0,0.0,246.0,1149.0,889.0,202001061800,202001061900,2648.0,2038.0,9213.0,11861.0,22,17
139,362.0,3930.0,0.0,52.0,34.0,4129.0,644.0,0.0,245.0,1263.0,966.0,202001061900,202001062000,2560.0,2229.0,9065.0,11625.0,22,19
140,363.0,3067.0,0.0,,34.0,4130.0,649.0,0.0,247.0,1337.0,839.0,202001062000,202001062100,2457.0,2176.0,8209.0,10666.0,23,20
141,365.0,2628.0,0.0,57.0,34.0,4133.0,672.0,0.0,241.0,1381.0,780.0,202001062100,202001062200,2493.0,2161.0,7798.0,10291.0,24,21
142,367.0,2767.0,0.0,61.0,34.0,4133.0,700.0,0.0,245.0,1111.0,606.0,202001062200,202001062300,2057.0,1717.0,7967.0,10024.0,21,17
143,366.0,2644.0,0.0,20.0,34.0,4132.0,722.0,0.0,250.0,878.0,569.0,202001062300,202001070000,1751.0,1447.0,7864.0,9615.0,18,15
144,367.0,2546.0,0.0,,34.0,4130.0,704.0,0.0,246.0,876.0,608.0,202001070000,202001070100,1764.0,1484.0,7747.0,9511.0,19,16
145,370.0,2612.0,0.0,,34.0,4129.0,711.0,0.0,247.0,619.0,488.0,202001070100,202001070200,1388.0,1107.0,7822.0,9210.0,15,12
146,366.0,2664.0,0.0,,34.0,4128.0,700.0,0.0,247.0,543.0,382.0,202001070200,202001070300,1206.0,925.0,7858.0,9064.0,13,10
147,366.0,2699.0,0.0,,33.0,4129.0,657.0,0.0,253.0,404.0,334.0,202001070300,202001070400,1024.0,738.0,7851.0,8875.0,12,8
148,365.0,2788.0,0.0,,33.0,4129.0,663.0,0.0,249.0,369.0,329.0,202001070400,202001070500,980.0,698.0,7945.0,8925.0,11,8
149,365.0,3411.0,0.0,,34.0,4129.0,693.0,0.0,246.0,261.0,289.0,202001070500,202001070600,830.0,550.0,8598.0,9428.0,9,6
150,365.0,4191.0,0.0,46.0,34.0,4128.0,754.0,0.0,244.0,154.0,246.0,202001070600,202001070700,724.0,400.0,9438.0,10162.0,7,4
151,364.0,4285.0,0.0,1023.0,32.0,4129.0,797.0,0.0,239.0,295.0,215.0,202001070700,202001070800,1804.0,510.0,9575.0,11379.0,16,4
152,367.0,4212.0,0.0,871.0,28.0,4125.0,797.0,77.0,240.0,614.0,241.0,202001070800,202001070900,2071.0,932.0,9501.0,11572.0,18,8
153,366.0,4227.0,0.0,513.0,29.0,4124.0,777.0,152.0,241.0,695.0,292.0,202001070900,202001071000,1922.0,1139.0,9494.0,11416.0,17,10
154,366.0,4248.0,0.0,276.0,31.0,4116.0,801.0,268.0,242.0,742.0,301.0,202001071000,202001071100,1860.0,1311.0,9531.0,11391.0,16,12
155,367.0,4172.0,0.0,427.0,31.0,4121.0,807.0,438.0,245.0,1058.0,321.0,202001071100,202001071200,2520.0,1817.0,9467.0,11987.0,21,15
156,360.0,3908.0,0.0,4.0,34.0,4120.0,769.0,516.0,243.0,1295.0,373.0,202001071200,202001071300,2465.0,2184.0,9157.0,11622.0,21,19
157,356.0,3845.0,0.0,,34.0,4119.0,725.0,417.0,244.0,1320.0,467.0,202001071300,202001071400,2482.0,2204.0,9045.0,11527.0,22,19
158,356.0,4045.0,0.0,,34.0,4117.0,738.0,218.0,245.0,1356.0,510.0,202001071400,202001071500,2363.0,2084.0,9256.0,11619.0,20,18
159,352.0,4082.0,0.0,,34.0,4119.0,738.0,44.0,236.0,1392.0,568.0,202001071500,202001071600,2274.0,2004.0,9291.0,11565.0,20,17
160,355.0,4136.0,0.0,358.0,34.0,4116.0,747.0,0.0,235.0,1427.0,728.0,202001071600,202001071700,2782.0,2155.0,9354.0,12136.0,23,18
161,358.0,4103.0,0.0,481.0,34.0,4113.0,758.0,0.0,234.0,1474.0,952.0,202001071700,202001071800,3175.0,2426.0,9332.0,12507.0,25,19
162,363.0,4014.0,0.0,62.0,32.0,4114.0,676.0,0.0,238.0,1477.0,1175.0,202001071800,202001071900,2984.0,2652.0,9167.0,12151.0,25,22
163,366.0,3651.0,0.0,,30.0,4116.0,619.0,0.0,250.0,1477.0,1250.0,202001071900,202001072000,3007.0,2727.0,8752.0,11759.0,26,23
